,광역시도,시군구,20~39세계,20~39세여자,65세이상계,인구수 계,인구수남자,인구수여자,소멸비율,소멸위기지역,ID,y,x,여성비율,2030 여성비율,고령자 비율
0,강원,강릉시,46008,20993,40497,203057,101154,101903,1.036768155665852,0,강릉,3,11,50.184430972584046,45.629021039819165,19.943661139483
1,강원,고성군,4006,1699,7005,23621,11933,11688,0.48508208422555316,1,고성(강원),0,10,49.4813936751196,42.41138292561158,29.65581474112019
2,강원,동해시,16311,7510,16152,83888,42093,41795,0.9299157999009411,1,동해,4,11,49.82238222391761,46.04254797376004,19.254243753576198
3,강원,삼척시,12428,5280,14953,61833,31630,30203,0.7062128001070019,1,삼척,5,11,48.8460854236411,42.48471194077889,24.18287969207381
4,강원,속초시,15928,7411,14010,76302,37488,38814,1.0579586009992863,0,속초,1,10,50.868915624754266,46.528126569563035,18.361248722182903
5,강원,양구군,4656,2016,4123,19900,10272,9628,0.9779286926994907,1,양구,0,9,48.381909547738694,43.29896907216495,20.71859296482412
6,강원,양양군,4020,1810,7405,25125,12599,12526,0.4888588791357191,1,양양,2,10,49.854726368159206,45.024875621890544,29.4726368159204
7,강원,영월군,4983,2227,10051,34342,17530,16812,0.4431399860710377,1,영월,7,10,48.95463281113505,44.6919526389725,29.267369401898552
8,강원,원주시,83196,40779,46837,329874,163155,166719,1.7413156265345773,0,원주,5,10,50.54020626057222,49.01557767200346,14.198451529978112
9,강원,인제군,6320,2739,5793,28219,14807,13412,0.9456240290005179,1,인제,1,8,47.52826110067685,43.338607594936704,20.52872178319572
10,강원,정선군,5007,2222,8810,32728,16876,15852,0.5044267877412032,1,정선,3,10,48.435590320215105,44.37787098062712,26.91884624786116
11,강원,철원군,8373,3767,9045,40147,20255,19892,0.8329463792150359,1,철원,0,7,49.547911425511245,44.98984832198734,22.529703340224675
12,강원,춘천시,66567,32994,44624,265695,129655,136040,1.4787558264610972,0,춘천,1,9,51.20156570503773,49.56509982423724,16.79519750089388
13,강원,태백시,6857,3211,9412,40467,20307,20160,0.6823204419889503,1,태백,4,10,49.81837052413077,46.828058917894126,23.258457508587245
14,강원,평창군,5597,2544,10304,37624,19034,18590,0.4937888198757764,1,평창,6,10,49.40995109504572,45.452921207789885,27.386774399319584
15,강원,홍천군,10966,4987,15824,62531,31608,30923,0.6303083923154702,1,홍천,2,8,49.45227167325007,45.476928688674086,25.30584829924358
16,강원,화천군,5189,2166,4863,21700,11302,10398,0.8908081431215299,1,화천,0,8,47.91705069124424,41.742146849103875,22.41013824884793
17,강원,횡성군,6502,3045,11883,41427,20919,20508,0.5124968442312547,1,횡성,2,9,49.50394670142661,46.831744078745004,28.684191469331594
18,경기,가평군,10406,4848,13649,55249,27803,27446,0.7103817129460034,1,가평,3,7,49.67691722927112,46.58850663078993,24.70451953881518
19,경기,과천시,13196,6605,7335,52389,25565,26824,1.8009543285616905,0,과천,7,7,51.20158811964344,50.053046377690215,14.001030750730115
20,경기,광명시,79498,39850,39032,300735,146975,153760,2.0419143267062925,0,광명,4,4,51.12806956290422,50.127047221313745,12.978868438991139
21,경기,광주시,95920,46955,43492,350406,177168,173238,2.1592476777338363,0,광주,7,9,49.439221931131314,48.9522518765638,12.411887924293534
22,경기,구리시,50331,25537,23685,187625,91954,95671,2.1563858982478363,0,구리,3,8,50.99053964023984,50.738113687389486,12.623584277148566
23,경기,군포시,71824,35603,31741,261123,128228,132895,2.2433445701143633,0,군포,9,5,50.89364016191603,49.569781688572064,12.15557419300483
24,경기,권선구,109106,53806,36968,356678,178020,178658,2.910950010820169,0,수원 권선,10,5,50.08943641043182,49.31534471064836,10.364530472863478
25,경기,기흥구,104472,53670,49705,408613,200436,208177,2.159541293632431,0,용인 기흥,9,8,50.94722879595118,51.372616586262346,12.164321742088479
26,경기,김포시,107755,55346,49106,410416,203616,206800,2.2541440964444264,0,김포,4,2,50.38789910724728,51.36281379054336,11.964933141008148
27,경기,남양주시,158873,81508,86857,658410,324619,333791,1.8768320342632143,0,남양주,2,7,50.696526480460506,51.30387164590585,13.191932078795887
28,경기,단원구,84580,40558,27101,292166,148143,144023,2.993099885613077,0,안산 단원,8,3,49.29492138031119,47.95223457082052,9.275891103003087
29,경기,덕양구,115693,58376,60361,434496,212696,221800,1.934229055184639,0,고양 덕양,3,4,51.04765061128296,50.45767678251926,13.892187730151717
30,경기,동두천시,19995,9706,16535,87789,43473,44316,1.1739945570003023,0,동두천,1,4,50.48012848990192,48.54213553388347,18.834933761633007
31,경기,동안구,83368,42071,33709,305176,148374,156802,2.496128630336112,0,안양 동안,5,3,51.38084253021208,50.464206889933784,11.045757202401237
32,경기,만안구,65727,32133,34077,232970,115363,117607,1.8859054494233647,0,안양 만안,4,3,50.48160707387217,48.888584599936095,14.627205219556167
33,경기,부천시,225145,112536,97382,789832,388300,401532,2.311227947670001,0,부천,5,2,50.83764648684783,49.98378822536588,12.329457403599752
34,경기,분당구,121818,63839,54830,450949,216999,233950,2.328615721320445,0,성남 분당,8,7,51.879480828208955,52.40522747048876,12.15880288014831
35,경기,상록구,94432,45514,34801,329833,165899,163934,2.615671963449326,0,안산 상록,7,3,49.702121982942884,48.19764486614707,10.551097070335594
36,경기,수정구,64575,31237,33149,221396,110653,110743,1.8846420706506983,0,성남 수정,8,8,50.020325570471016,48.37320944638018,14.972718567634466
37,경기,수지구,87093,45783,44174,343400,166498,176902,2.072848281794721,0,용인 수지,8,9,51.51485148514852,52.56794461093314,12.863715783343041
38,경기,시흥시,130804,62272,38348,451166,232951,218215,3.247731302805883,0,시흥,6,3,48.36689821484775,47.60710681630531,8.49975397082227
39,경기,안성시,43275,20391,28371,174023,88473,85550,1.4374537379718726,0,안성,10,4,49.160168483476326,47.11958405545927,16.30301741723795
40,경기,양주시,49259,24354,30411,207734,103990,103744,1.6016572950577095,0,양주,1,3,49.94078966370454,49.44071134208977,14.639394610415243
41,경기,양평군,18583,9046,25713,105056,52233,52823,0.703612958425699,1,양평,4,9,50.28080261955529,48.67890006995641,24.475517819067928
42,경기,여주시,21655,10328,20924,102076,51516,50560,0.9871917415408143,1,여주,5,9,49.53172146243975,47.6933733548834,20.498452133704298
43,경기,연천군,8293,3506,10094,39677,20488,19189,0.6946701010501288,1,연천,1,5,48.3630314791945,42.27661883516218,25.440431484235198
44,경기,영통구,114114,56846,23901,349508,174245,175263,4.756788418894607,0,수원 영통,9,7,50.14563329022511,49.81509718351823,6.83847007793813
45,경기,오산시,66228,31630,19071,215639,110191,105448,3.3170782864034396,0,오산,10,3,48.90024531740548,47.75925590384731,8.843947523407177
46,경기,의왕시,40279,19807,19547,150673,74450,76223,2.0266025477055303,0,의왕,9,6,50.5883602237959,49.17450780803893,12.973127235802034
47,경기,의정부시,112160,56859,60671,425099,207441,217658,1.8743386461406604,0,의정부,1,7,51.20172006991312,50.69454350927247,14.272204827581339
48,경기,이천시,52726,25107,27195,200370,101752,98618,1.846442360728075,0,이천,6,9,49.217946798422915,47.61787353487843,13.572391076508458
49,경기,일산동구,72176,38009,32677,274192,131746,142446,2.3263457477736633,0,고양 일산동,2,4,51.95118748905876,52.66154954555531,11.917561416817414
50,경기,일산서구,68555,35939,33499,280312,134373,145939,2.1456759903280695,0,고양 일산서,3,3,52.06305830645852,52.423601487856466,11.950612175004995
51,경기,장안구,71455,34506,32574,262957,130792,132165,2.118622214035734,0,수원 장안,10,6,50.26106930030385,48.290532502973896,12.387576676034485
52,경기,중원구,59573,28801,30171,208514,104312,104202,1.9091843160650956,0,성남 중원,7,8,49.97362287424345,48.34572709113189,14.46953202183067
53,경기,처인구,63708,30645,31962,237751,120595,117156,1.9175896376947625,0,용인 처인,9,9,49.27676434589129,48.10227914861556,13.443476578437105
54,경기,파주시,108645,53801,55828,420588,209760,210828,1.9273841083327363,0,파주,2,3,50.12696510599447,49.51999631828432,13.273797635690984
55,경기,팔달구,49683,24039,23997,166215,82671,83544,2.0035004375546945,0,수원 팔달,11,6,50.26261167764642,48.38475937443391,14.437325151159644
56,경기,평택시,133390,62961,56414,477029,243253,233776,2.2321055057255292,0,평택,11,4,49.006664165071726,47.20068970687458,11.826115393403756
57,경기,포천시,29729,13697,24626,135779,70116,65663,1.1124015268415497,0,포천,1,6,48.36020297689628,46.072858151972824,18.136825282260144
58,경기,하남시,71746,36174,31299,254528,126779,127749,2.3115115498897727,0,하남,3,9,50.19054878048781,50.419535583865304,12.296878928840835
59,경기,화성시,229274,111668,64048,768956,393408,375548,3.4870097426929805,0,화성,9,3,48.838685178345706,48.70504287446462,8.329215195667892
60,경남,거제시,58101,27750,23216,232585,120346,112239,2.390592694693315,0,거제,22,8,48.257196293828066,47.761656425879075,9.981727110518735
61,경남,거창군,9445,4421,15425,56403,27277,29126,0.57322528363047,1,거창,16,6,51.63909721114125,46.8078348332451,27.347836108008437
62,경남,고성군,7352,3285,14272,46838,23118,23720,0.4603419282511211,1,고성(경남),22,7,50.642640590973144,44.681719260065286,30.470985097570345
63,경남,김해시,129227,63358,52747,509414,254664,254750,2.4023356778584564,0,김해,20,9,50.00844107150569,49.028453806093154,10.354446481643615
64,경남,남해군,4833,2145,14868,39237,18754,20483,0.2885391444713479,1,남해,22,6,52.2032775186686,44.38237119801365,37.89280526034101
65,경남,마산합포구,39662,18743,32949,168372,83102,85270,1.137697653950044,0,창원 합포,19,8,50.64381251039365,47.25682013009934,19.569168270258714
66,경남,마산회원구,42074,20180,29609,183517,91161,92356,1.3630990577189368,0,창원 회원,21,7,50.325582916024125,47.96311261111375,16.13420010135301
67,경남,밀양시,16579,7788,26056,96207,46631,49576,0.5977893767270495,1,밀양,17,8,51.53055390979866,46.97508896797153,27.083268369245484
68,경남,사천시,20869,9440,21648,103059,51358,51701,0.8721359940872137,1,사천,21,6,50.16640953240377,45.23455843595764,21.00544348382965
69,경남,산청군,3993,1858,11163,31311,15203,16108,0.33288542506494667,1,산청,19,5,51.445179010571366,46.53143000250438,35.652007281785956
70,경남,성산구,56762,27247,15873,207933,104555,103378,3.4331254331254333,0,창원 성산,20,7,49.71697614135323,48.00218456009302,7.633708935089668
71,경남,양산시,85945,42376,41056,329721,163340,166381,2.064302416212003,0,양산,19,7,50.4611474549695,49.30595148059806,12.451739500972034
72,경남,의령군,3323,1579,8713,23911,11453,12458,0.3624469183977964,1,의령,18,7,52.1015432227845,47.517303641287995,36.439295721634394
73,경남,의창구,65290,30864,28161,242721,122271,120450,2.1919676147864067,0,창원 의창,20,6,49.62487794628401,47.27217031704702,11.602209944751381
74,경남,진주시,81837,39596,52845,332208,163346,168862,1.4985712934052418,0,진주,18,6,50.83020276453306,48.38398279506825,15.907202716370467
75,경남,진해구,45710,21823,24374,183583,92993,90590,1.7906785919422334,0,창원 진해,20,8,49.34552763600116,47.74228833953183,13.276828464509242
76,경남,창녕군,9435,4282,16795,56181,27648,28533,0.5099136647811848,1,창녕,17,7,50.78763282960431,45.38420773714891,29.894448301027037
77,경남,통영시,24459,11797,22350,122162,60826,61336,1.0556599552572707,0,통영,21,8,50.208739215140554,48.2317347397686,18.29537826820124
78,경남,하동군,5499,2433,13811,40744,19901,20843,0.3523278546086453,1,하동,20,5,51.155998429216574,44.244408074195306,33.89701551148636
79,경남,함안군,10996,5216,13955,60079,29988,30091,0.747545682551057,1,함안,19,6,50.0857204680504,47.435431065842124,23.22775012899682
80,경남,함양군,4844,2274,11805,35496,16980,18516,0.3852604828462516,1,함양,17,6,52.16362407031778,46.94467382328654,33.257268424611226
81,경남,합천군,5071,2298,15547,40085,19085,21000,0.29561973371068373,1,합천,16,7,52.38867406760633,45.316505620193254,38.78508170138456
82,경북,경산시,70122,32956,39828,255939,127793,128146,1.6549161393994174,0,경산,12,11,50.068961744790755,46.99808904480762,15.561520518561064
83,경북,경주시,51111,23620,50746,239382,119114,120268,0.9309108107042919,1,경주,12,12,50.241037337811534,46.21314394161726,21.198753456817972
84,경북,고령군,4501,2074,8819,29019,14552,14467,0.4703481120308425,1,고령,13,9,49.85354422964265,46.07864918906909,30.39043385368207
85,경북,구미시,116063,54585,35323,396338,201545,194793,3.090620841944342,0,구미,10,10,49.14820178736331,47.03049206034653,8.912342495546731
86,경북,군위군,2621,1141,8360,20861,10491,10370,0.27296650717703347,1,군위,11,10,49.70998513973443,43.53300267073636,40.074780691242026
87,경북,김천시,27713,13073,29105,129665,63978,65687,0.8983336196529806,1,김천,11,9,50.659005899818766,47.1728069858911,22.4463039370686
88,경북,남구,49270,22812,35726,221143,112611,108532,1.2770531265744836,0,포항 남구,11,12,49.07774607380745,46.299979703673635,16.15515752250806
89,경북,문경시,10167,4766,19266,64832,31547,33285,0.49475760406934494,1,문경,8,10,51.34038746298124,46.877151568801025,29.716806515301087
90,경북,봉화군,3568,1684,10308,28857,14309,14548,0.32673651532790066,1,봉화,8,11,50.414110960945344,47.19730941704036,35.7209689156877
91,경북,북구,56621,27263,41106,254864,125439,129425,1.3264730209701747,0,포항 북구,10,12,50.78198568648378,48.149979689514495,16.128601921024547
92,경북,상주시,14788,6635,27712,90827,44325,46502,0.4788539260969977,1,상주,11,8,51.19843218426239,44.86746010278605,30.51075120834113
93,경북,성주군,6021,2663,11890,38006,19264,18742,0.4479394449116905,1,성주,13,11,49.31326632636952,44.228533466201625,31.28453402094406
94,경북,안동시,30402,14428,34890,148890,73525,75365,0.8270564631699627,1,안동,9,10,50.61790583652361,47.45740411815012,23.433407213379002
95,경북,영덕군,4489,2086,12502,33715,15906,17809,0.3337066069428891,1,영덕,7,11,52.82218597063621,46.469146803296944,37.08141776657274
96,경북,영양군,1865,879,5674,15272,7531,7741,0.3098343320408883,1,영양,9,11,50.68753273965427,47.1313672922252,37.152959664745936
97,경북,영주시,17125,7880,25317,97309,47843,49466,0.6225066161077537,1,영주,10,9,50.83394136205284,46.01459854014598,26.017120718535796
98,경북,영천시,17393,7971,25552,92731,46027,46704,0.6239041953663118,1,영천,12,10,50.36503434665861,45.828781693784855,27.55497082960391
99,경북,예천군,8502,4179,15336,50742,24733,26009,0.5449921752738655,1,예천,10,8,51.25734105868906,49.15314043754411,30.223483504788934
100,경북,울릉군,1506,632,1972,8200,4436,3764,0.640973630831643,1,울릉,8,13,45.90243902439025,41.96547144754316,24.048780487804876
101,경북,울진군,7500,3309,12405,44272,22032,22240,0.5334945586457074,1,울진,6,11,50.23491145645102,44.12,28.019967473798335
102,경북,의성군,5802,2597,19316,47133,22823,24310,0.26889625181196936,1,의성,11,11,51.5774510427938,44.760427438814204,40.98190227653661
103,경북,청도군,5033,2271,14261,38218,18446,19772,0.3184909894116822,1,청도,13,10,51.73478465644461,45.122193522749846,37.314877806269294
104,경북,청송군,3120,1324,8408,23031,11451,11580,0.3149381541389153,1,청송,10,11,50.28005731405497,42.43589743589744,36.50731622595632
105,경북,칠곡군,26524,12373,15881,108254,55417,52837,1.558214218248221,0,칠곡,12,9,48.80835812071609,46.648318503996386,14.67012766271916
106,광주,광산구,108402,54745,33965,392634,195701,196933,3.2236125423229796,0,광주 광산,21,2,50.15688911301619,50.50183575948783,8.650549875965913
107,광주,남구,52095,26643,34372,209133,100399,108734,1.5502734784126615,0,광주 남구,23,2,51.99275102446769,51.14310394471639,16.43547407630551
108,광주,동구,26870,13001,19994,95738,47381,48357,1.3004901470441133,0,광주 동구,23,3,50.50972445632873,48.38481577967994,20.884079466878354
109,광주,북구,115023,56938,58933,422264,208100,214164,1.9322959971493052,0,광주 북구,22,3,50.71803421556182,49.501404067012686,13.956434836974028
110,광주,서구,77733,39602,38366,289981,141373,148608,2.064432049210238,0,광주 서구,22,2,51.24749552556892,50.94618759085587,13.230521999717224
111,대구,남구,36403,18059,31219,141016,67453,73563,1.1569236682789328,0,대구 남구,15,9,52.16642083167867,49.608548745982475,22.138622567651897
112,대구,달서구,142081,69705,72740,549980,269246,280734,1.9165521033819082,0,대구 달서,16,8,51.04440161460416,49.06004321478593,13.22593548856322
113,대구,달성군,68262,33012,27906,243000,122037,120963,2.36594280799828,0,대구 달성,16,9,49.779012345679014,48.36072778412587,11.48395061728395
114,대구,동구,82204,39988,60517,328007,160082,167925,1.3215460118644349,0,대구 동구,15,10,51.19555375342599,48.64483480122622,18.4499111299454
115,대구,북구,113047,54402,56992,425333,210525,214808,1.9091100505334082,0,대구 북구,14,8,50.50348785539801,48.1233469264996,13.399383541836633
116,대구,서구,39397,18019,34817,167446,83008,84438,1.0350690754516472,0,대구 서구,15,8,50.42700333241762,45.73698504962307,20.79297206263512
117,대구,수성구,88787,44780,60804,405234,195256,209978,1.4729294125386487,0,대구 수성,14,10,51.81648134164458,50.43531147577911,15.004663971927332
118,대구,중구,21428,10915,14236,72483,34690,37793,1.5334363585276762,0,대구 중구,14,9,52.14050191079288,50.938025014000374,19.64046741994675
119,대전,대덕구,43677,20568,24547,170822,85844,84978,1.6758055974253472,0,대전 대덕,13,5,49.74651976911639,47.09114636994299,14.369928931870602
120,대전,동구,59947,28471,37784,221955,111143,110812,1.5070400169383866,0,대전 동구,14,5,49.92543533599153,47.49361936377133,17.023270482755514
121,대전,서구,134767,67755,54211,463747,226805,236942,2.499677187286713,0,대전 서구,16,4,51.09294507565547,50.27566095557518,11.689779125255797
122,대전,유성구,103746,49545,29084,336354,170005,166349,3.4070279191307935,0,대전 유성,15,4,49.45652497071538,47.75605806488925,8.646842314941996
123,대전,중구,54807,27469,41168,227181,110975,116206,1.3344830936649825,0,대전 중구,15,5,51.15128465848816,50.11951028153339,18.1212337299334
124,부산,강서구,35490,17626,13407,120451,61117,59334,2.629372715745506,0,부산 강서,18,8,49.259865007347386,49.6646942800789,11.130667242281094
